Nro.;Pais;Total Casos;Nuevos casos;Total Muertos;Nuevos Muertos;Total Recuperados;Nuevos Recuperados;Casos Activos;Casos Criticos;Total de Casos / 1M habitantes;Total de muertos/ 1M habitantes;Total pruebas;Pruebas / 1M habitantes;Nro. Habitantes
1;Argentina;9560307;;129369;;9296802;446;134136;456;207573;2809;35716069;775465;46057604
2;Bolivia;1041839;4339;22069;8;951942;4647;67828;220;86791;1838;2705422;225378;12003930
3;Brazil;33856805;;678792;;32421379;;756634;8318;156963;3147;63776166;295672;215699141
4;Chile;4248048;;59622;;3954281;;234145;167;218328;3064;42101184;2163785;19457190
5;Colombia;6265798;;140845;;6079628;;45325;342;120473;2708;35992047;692022;52009944
6;Ecuador;961345;;35801;;89941;2805;26134;759;52822;1967;2470170;135725;18199823
7;Falkland Islands;1835;;;;0;0;0;;497155;;8632;2338662;3691
8;French Guiana;92575;;407;;11254;;80914;3;294103;1293;650106;2065330;314771
9;Guyana;69834;;1271;;6796;;603;;87904;16;676729;851834;794438
10;Paraguay;707109;;1922;;676279;;1161;6;96671;2628;2646163;361764;7314613
11;Peru;3914506;;214364;;3559430;12212;140712;229;115382;6319;33082702;975132;33926375
12;Suriname;80966;;138;;49597;;29989;;135495;2309;238452;399046;597555
13;Uruguay;971728;;7415;;962545;;1768;18;277736;2119;6114822;1747720;3498743
14;Venezuela;536086;;5763;;525419;;4904;36;18964;204;3359014;118825;28268594
